sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7B,0.73,8.0,2.0,0.10462859989737751,139,1701
D7B,0.73,8.0,5.0,0.08939525740695684,139,1701
D7B,0.725,8.0,0.0,0.14244598675564968,139,1701
D7B,0.725,8.0,1.0,0.11890797339595989,139,1701
D7B,0.725,8.0,2.0,0.10462859989737751,139,1701
D7B,0.725,8.0,5.0,0.08939525740695684,139,1701
D7B,0.72,8.0,0.0,0.14244598675564968,139,1701
D7B,0.72,8.0,1.0,0.11890797339595989,139,1701
D7B,0.72,8.0,2.0,0.10462859989737751,139,1701
D7B,0.72,8.0,5.0,0.08939525740695684,139,1701
D7B,0.715,8.0,0.0,0.14244598675564968,139,1701
D7B,0.715,8.0,1.0,0.11890797339595989,139,1701
D7B,0.715,8.0,2.0,0.10462859989737751,139,1701
D7B,0.715,8.0,5.0,0.08939525740695684,139,1701
D7B,0.71,9.0,0.0,0.15898747973235103,138,1590
D7B,0.71,9.0,1.0,0.1353073423353533,138,1590
D7B,0.71,9.0,2.0,0.119249771526403,138,1590
D7B,0.71,9.0,5.0,0.10154876636549967,138,1590
D7B,0.7050000000000001,9.0,0.0,0.15898747973235103,138,1590
D7B,0.7050000000000001,9.0,1.0,0.1353073423353533,138,1590
D7B,0.7050000000000001,9.0,2.0,0.119249771526403,138,1590
D7B,0.7050000000000001,9.0,5.0,0.10154876636549967,138,1590
D7B,0.7,9.0,0.0,0.15898747973235103,138,1590
D7B,0.7,9.0,1.0,0.1353073423353533,138,1590
D7B,0.7,9.0,2.0,0.119249771526403,138,1590
D7B,0.7,9.0,5.0,0.10154876636549967,138,1590
D7B,0.6950000000000001,9.0,0.0,0.15898747973235103,138,1590
D7B,0.6950000000000001,9.0,1.0,0.1353073423353533,138,1590
D7B,0.6950000000000001,9.0,2.0,0.119249771526403,138,1590
D7B,0.6950000000000001,9.0,5.0,0.10154876636549967,138,1590
D7B,0.69,9.0,0.0,0.15898747973235103,138,1590
D7B,0.69,9.0,1.0,0.1353073423353533,138,1590
D7B,0.69,9.0,2.0,0.119249771526403,138,1590
D7B,0.69,9.0,5.0,0.10154876636549967,138,1590
D7B,0.685,9.0,0.0,0.15898747973235103,138,1590
D7B,0.685,9.0,1.0,0.1353073423353533,138,1590
D7B,0.685,9.0,2.0,0.119249771526403,138,1590
D7B,0.685,9.0,5.0,0.10154876636549967,138,1590
D7B,0.6799999999999999,9.0,0.0,0.15898747973235103,138,1590
D7B,0.6799999999999999,9.0,1.0,0.1353073423353533,138,1590
D7B,0.6799999999999999,9.0,2.0,0.119249771526403,138,1590
D7B,0.6799999999999999,9.0,5.0,0.10154876636549967,138,1590
D7B,0.675,10.0,0.0,0.18669902049757878,138,1479
D7B,0.675,10.0,1.0,0.15665695641594432,138,1479
D7B,0.675,10.0,2.0,0.13667453954301095,138,1479
D7B,0.675,10.0,5.0,0.11475621376369942,138,1479
D7B,0.6699999999999999,10.0,0.0,0.18669902049757878,138,1479
D7B,0.6699999999999999,10.0,1.0,0.15665695641594432,138,1479
D7B,0.6699999999999999,10.0,2.0,0.13667453954301095,138,1479
D7B,0.6699999999999999,10.0,5.0,0.11475621376369942,138,1479
D7B,0.665,10.0,0.0,0.18669902049757878,138,1479
D7B,0.665,10.0,1.0,0.15665695641594432,138,1479
D7B,0.665,10.0,2.0,0.13667453954301095,138,1479
D7B,0.665,10.0,5.0,0.11475621376369942,138,1479
D7B,0.6599999999999999,10.0,0.0,0.18669902049757878,138,1479
D7B,0.6599999999999999,10.0,1.0,0.15665695641594432,138,1479
D7B,0.6599999999999999,10.0,2.0,0.13667453954301095,138,1479
D7B,0.6599999999999999,10.0,5.0,0.11475621376369942,138,1479
D7B,0.655,10.0,0.0,0.18669902049757878,138,1479
D7B,0.655,10.0,1.0,0.15665695641594432,138,1479
D7B,0.655,10.0,2.0,0.13667453954301095,138,1479
D7B,0.655,10.0,5.0,0.11475621376369942,138,1479
D7B,0.6499999999999999,10.0,0.0,0.18669902049757878,138,1479
D7B,0.6499999999999999,10.0,1.0,0.15665695641594432,138,1479
D7B,0.6499999999999999,10.0,2.0,0.13667453954301095,138,1479
D7B,0.6499999999999999,10.0,5.0,0.11475621376369942,138,1479
D7B,0.645,10.0,0.0,0.18669902049757878,138,1479
D7B,0.645,10.0,1.0,0.15665695641594432,138,1479
D7B,0.645,10.0,2.0,0.13667453954301095,138,1479
D7B,0.645,10.0,5.0,0.11475621376369942,138,1479
D7B,0.64,11.0,0.0,0.21340864878202773,137,1394
D7B,0.64,11.0,1.0,0.1769877208261764,137,1394
D7B,0.64,11.0,2.0,0.15298729055824312,137,1394
D7B,0.64,11.0,5.0,0.12725868117706124,137,1394
D7B,0.635,11.0,0.0,0.21340864878202773,137,1394
