sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.86,4.0,5.0,0.034717951499951084,124,4022
D7A,0.855,4.0,0.0,0.052570056680807595,124,4022
D7A,0.855,4.0,1.0,0.04314710154870365,124,4022
D7A,0.855,4.0,2.0,0.038996662014035434,124,4022
D7A,0.855,4.0,3.0,0.03690945850385445,124,4022
D7A,0.855,4.0,4.0,0.03561248402979878,124,4022
D7A,0.855,4.0,5.0,0.034717951499951084,124,4022
D7A,0.85,4.0,0.0,0.052570056680807595,124,4022
D7A,0.85,4.0,1.0,0.04314710154870365,124,4022
D7A,0.85,4.0,2.0,0.038996662014035434,124,4022
D7A,0.85,4.0,3.0,0.03690945850385445,124,4022
D7A,0.85,4.0,4.0,0.03561248402979878,124,4022
D7A,0.85,4.0,5.0,0.034717951499951084,124,4022
D7A,0.845,4.0,0.0,0.052570056680807595,124,4022
D7A,0.845,4.0,1.0,0.04314710154870365,124,4022
D7A,0.845,4.0,2.0,0.038996662014035434,124,4022
D7A,0.845,4.0,3.0,0.03690945850385445,124,4022
D7A,0.845,4.0,4.0,0.03561248402979878,124,4022
D7A,0.845,4.0,5.0,0.034717951499951084,124,4022
D7A,0.84,5.0,0.0,0.06915089409494987,119,3855
D7A,0.84,5.0,1.0,0.057267280076707734,119,3855
D7A,0.84,5.0,2.0,0.051991150112594066,119,3855
D7A,0.84,5.0,3.0,0.04931412510285056,119,3855
D7A,0.84,5.0,4.0,0.04762975445125129,119,3855
D7A,0.84,5.0,5.0,0.046455249582742345,119,3855
D7A,0.835,5.0,0.0,0.06915089409494987,119,3855
D7A,0.835,5.0,1.0,0.057267280076707734,119,3855
D7A,0.835,5.0,2.0,0.051991150112594066,119,3855
D7A,0.835,5.0,3.0,0.04931412510285056,119,3855
D7A,0.835,5.0,4.0,0.04762975445125129,119,3855
D7A,0.835,5.0,5.0,0.046455249582742345,119,3855
D7A,0.83,5.0,0.0,0.06915089409494987,119,3855
D7A,0.83,5.0,1.0,0.057267280076707734,119,3855
D7A,0.83,5.0,2.0,0.051991150112594066,119,3855
D7A,0.83,5.0,3.0,0.04931412510285056,119,3855
D7A,0.83,5.0,4.0,0.04762975445125129,119,3855
D7A,0.83,5.0,5.0,0.046455249582742345,119,3855
D7A,0.825,5.0,0.0,0.06915089409494987,119,3855
D7A,0.825,5.0,1.0,0.057267280076707734,119,3855
D7A,0.825,5.0,2.0,0.051991150112594066,119,3855
D7A,0.825,5.0,3.0,0.04931412510285056,119,3855
D7A,0.825,5.0,4.0,0.04762975445125129,119,3855
D7A,0.825,5.0,5.0,0.046455249582742345,119,3855
D7A,0.8200000000000001,5.0,0.0,0.06915089409494987,119,3855
D7A,0.8200000000000001,5.0,1.0,0.057267280076707734,119,3855
D7A,0.8200000000000001,5.0,2.0,0.051991150112594066,119,3855
D7A,0.8200000000000001,5.0,3.0,0.04931412510285056,119,3855
D7A,0.8200000000000001,5.0,4.0,0.04762975445125129,119,3855
D7A,0.8200000000000001,5.0,5.0,0.046455249582742345,119,3855
D7A,0.815,5.0,0.0,0.06915089409494987,119,3855
D7A,0.815,5.0,1.0,0.057267280076707734,119,3855
D7A,0.815,5.0,2.0,0.051991150112594066,119,3855
D7A,0.815,5.0,3.0,0.04931412510285056,119,3855
D7A,0.815,5.0,4.0,0.04762975445125129,119,3855
D7A,0.815,5.0,5.0,0.046455249582742345,119,3855
D7A,0.81,5.0,0.0,0.06915089409494987,119,3855
D7A,0.81,5.0,1.0,0.057267280076707734,119,3855
D7A,0.81,5.0,2.0,0.051991150112594066,119,3855
D7A,0.81,5.0,3.0,0.04931412510285056,119,3855
D7A,0.81,5.0,4.0,0.04762975445125129,119,3855
D7A,0.81,5.0,5.0,0.046455249582742345,119,3855
D7A,0.8049999999999999,5.0,0.0,0.06915089409494987,119,3855
D7A,0.8049999999999999,5.0,1.0,0.057267280076707734,119,3855
D7A,0.8049999999999999,5.0,2.0,0.051991150112594066,119,3855
D7A,0.8049999999999999,5.0,3.0,0.04931412510285056,119,3855
D7A,0.8049999999999999,5.0,4.0,0.04762975445125129,119,3855
D7A,0.8049999999999999,5.0,5.0,0.046455249582742345,119,3855
D7A,0.8,5.199999999999818,0.0,0.09386662544103207,117,3657
D7A,0.8,5.199999999999818,1.0,0.07755011452433064,117,3657
D7A,0.8,5.199999999999818,2.0,0.06998126011428603,117,3657
D7A,0.8,5.199999999999818,3.0,0.06612702659990351,117,3657
D7A,0.8,5.199999999999818,4.0,0.06374465478461237,117,3657
D7A,0.8,5.199999999999818,5.0,0.062107450297634925,117,3657
D7A,0.7949999999999999,6.0,0.0,0.09386662544103207,117,3657
D7A,0.7949999999999999,6.0,1.0,0.07755011452433064,117,3657
D7A,0.7949999999999999,6.0,2.0,0.06998126011428603,117,3657
D7A,0.7949999999999999,6.0,3.0,0.06612702659990351,117,3657
D7A,0.7949999999999999,6.0,4.0,0.06374465478461237,117,3657
D7A,0.7949999999999999,6.0,5.0,0.062107450297634925,117,3657
D7A,0.79,6.0,0.0,0.09386662544103207,117,3657
D7A,0.79,6.0,1.0,0.07755011452433064,117,3657
D7A,0.79,6.0,2.0,0.06998126011428603,117,3657
D7A,0.79,6.0,3.0,0.06612702659990351,117,3657
D7A,0.79,6.0,4.0,0.06374465478461237,117,3657
