sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxC,0.86,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.86,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.86,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.855,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.855,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.855,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.855,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.855,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.855,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.85,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.85,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.85,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.85,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.85,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.85,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.845,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.845,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.845,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.845,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.845,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.845,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.84,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.84,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.84,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.84,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.84,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.84,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.835,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.835,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.835,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.835,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.835,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.835,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.83,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.83,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.83,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.83,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.83,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.83,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.825,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.825,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.825,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.825,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.825,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.825,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.8200000000000001,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.815,0.0,0.0,-0.03165354865227707,97,977
