sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxB,0.87,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.87,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.87,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.87,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.865,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.865,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.865,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.865,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.86,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.86,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.86,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.86,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.855,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.855,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.855,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.855,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.85,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.85,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.85,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.85,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.845,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.845,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.845,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.845,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.84,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.84,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.84,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.84,1.0,5.0,-0.004056053933649148,28,274
BL6-B10BR_HTxB,0.835,1.0,0.0,-0.025891694653162718,28,274
BL6-B10BR_HTxB,0.835,1.0,1.0,-0.01216638206340421,28,274
BL6-B10BR_HTxB,0.835,1.0,2.0,-0.006273025554746973,28,274
BL6-B10BR_HTxB,0.835,1.0,5.0,-0.004056053933649148,28,274
