percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.61,0.0799999999999983,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.605,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.6,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.595,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.59,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.585,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5800000000000001,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.575,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5700000000000001,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.565,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.56,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5549999999999999,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.55,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5449999999999999,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.54,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5349999999999999,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.53,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5249999999999999,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.52,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.515,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.51,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.505,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.5,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.495,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.49,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.485,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.48,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.475,0.0,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
