percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.88,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.875,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.87,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.865,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.86,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.855,4.0,2694,51.29474485910129,146,138,138,0.0021151168127720443,0.06942753852036535,0.03696739243597376,0.009728483161160234
0.85,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.845,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.84,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.835,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.83,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.825,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.8200000000000001,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.815,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.81,5.0,2562,48.78141660319878,146,135,135,0.007800728402051593,0.12713868213266688,0.044215921308602,0.013514232095043384
0.8049999999999999,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.8,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.7949999999999999,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.79,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.785,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.78,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.775,6.0,2406,45.81111957349581,146,131,131,0.008960786916608954,0.14621795112183691,0.05807046550590268,0.01850471723085532
0.77,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.765,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.76,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.755,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.75,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.745,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.74,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.735,7.0,2256,42.95506473724296,146,121,121,0.013156236197563342,0.17729656451968318,0.08106289653382953,0.02170677450614142
0.73,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.725,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.72,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.715,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.71,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.7050000000000001,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.7,8.0,2124,40.44173648134044,146,119,119,0.017260787040380365,0.18947263025117708,0.09664560825575967,0.025800081671624356
0.6950000000000001,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.69,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.685,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.6799999999999999,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.675,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.6699999999999999,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.665,9.0,2004,38.156892612338154,146,117,117,0.022507818071183516,0.2179862375642169,0.11005363522706442,0.02634371213049165
0.6599999999999999,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.655,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.6499999999999999,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.645,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.64,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.635,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.63,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.625,10.0,1876,35.71972581873572,146,111,111,0.025660672991464684,0.23181286549707605,0.11851785423468549,0.03063606598327021
0.62,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.615,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.61,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.605,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.6,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.595,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.59,11.0,1750,33.32063975628332,146,101,101,0.03335151472107456,0.257379184815738,0.13372325025313944,0.037603353863396735
0.585,12.0,1636,31.15003808073115,146,99,99,0.04119466822048623,0.26948051948051943,0.1592451990500396,0.05084281843081538
0.5800000000000001,12.0,1636,31.15003808073115,146,99,99,0.04119466822048623,0.26948051948051943,0.1592451990500396,0.05084281843081538
0.575,12.0,1636,31.15003808073115,146,99,99,0.04119466822048623,0.26948051948051943,0.1592451990500396,0.05084281843081538
