sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.715,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.715,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.715,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.715,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.71,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.71,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.71,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.71,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.7050000000000001,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.7050000000000001,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.7050000000000001,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.7050000000000001,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.7,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.7,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.7,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.7,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.6950000000000001,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.6950000000000001,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.6950000000000001,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.6950000000000001,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.69,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.69,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.69,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.69,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.685,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.685,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.685,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.685,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.6799999999999999,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.6799999999999999,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.6799999999999999,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.6799999999999999,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.675,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.675,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.675,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.675,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.6699999999999999,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.6699999999999999,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.6699999999999999,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.6699999999999999,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.665,1.0,0.0,-0.019954714892238348,117,1326
BL6-BALBc_HTxB,0.665,1.0,1.0,-0.015659055944841085,117,1326
BL6-BALBc_HTxB,0.665,1.0,2.0,-0.010720361675360224,117,1326
BL6-BALBc_HTxB,0.665,1.0,5.0,-0.007332093952050071,117,1326
BL6-BALBc_HTxB,0.6599999999999999,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.6599999999999999,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.6599999999999999,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.6599999999999999,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.655,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.655,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.655,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.655,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.6499999999999999,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.6499999999999999,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.6499999999999999,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.6499999999999999,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.645,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.645,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.645,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.645,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.64,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.64,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.64,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.64,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.635,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.635,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.635,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.635,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.63,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.63,0.0,1.0,-0.03768665789545783,80,1024
