percentile,thresh_syfpeithi,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.875,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.87,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.865,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.86,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.855,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.85,2.0,1440,91.4866581956798,143,128,128,0.0,0.0,-0.008311543948911742,0.0007762945131196426
0.845,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.84,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.835,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.83,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.825,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.8200000000000001,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.815,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.81,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.8049999999999999,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.8,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.7949999999999999,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.79,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.785,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.78,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.775,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.77,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.765,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.76,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.755,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.75,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.745,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.74,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.735,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.73,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.725,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.72,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.715,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.71,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.7050000000000001,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.7,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.6950000000000001,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.69,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.685,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.6799999999999999,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.675,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.6699999999999999,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.665,1.0,1326,84.24396442185514,143,117,117,0.00016776463059620106,0.03471144780030784,-0.015659055944841085,0.0007993790828268469
0.6599999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.655,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.6499999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.645,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.64,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.635,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.63,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.625,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.62,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.615,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.61,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.605,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.6,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.595,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.59,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.585,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5800000000000001,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.575,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5700000000000001,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.565,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.56,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5549999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.55,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5449999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.54,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
