sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7B,0.79,5.379999999999981,0.0,0.06555402202672962,23,256
D7B,0.79,5.379999999999981,1.0,0.05115167952892565,23,256
D7B,0.79,5.379999999999981,2.0,0.04250792426989294,23,256
D7B,0.79,5.379999999999981,5.0,0.03188604815247808,23,256
D7B,0.785,6.0,0.0,0.06555402202672962,23,256
D7B,0.785,6.0,1.0,0.05115167952892565,23,256
D7B,0.785,6.0,2.0,0.04250792426989294,23,256
D7B,0.785,6.0,5.0,0.03188604815247808,23,256
D7B,0.78,6.0,0.0,0.06555402202672962,23,256
D7B,0.78,6.0,1.0,0.05115167952892565,23,256
D7B,0.78,6.0,2.0,0.04250792426989294,23,256
D7B,0.78,6.0,5.0,0.03188604815247808,23,256
D7B,0.775,6.0,0.0,0.06555402202672962,23,256
D7B,0.775,6.0,1.0,0.05115167952892565,23,256
D7B,0.775,6.0,2.0,0.04250792426989294,23,256
D7B,0.775,6.0,5.0,0.03188604815247808,23,256
D7B,0.77,6.0,0.0,0.06555402202672962,23,256
D7B,0.77,6.0,1.0,0.05115167952892565,23,256
D7B,0.77,6.0,2.0,0.04250792426989294,23,256
D7B,0.77,6.0,5.0,0.03188604815247808,23,256
D7B,0.765,6.0,0.0,0.06555402202672962,23,256
D7B,0.765,6.0,1.0,0.05115167952892565,23,256
D7B,0.765,6.0,2.0,0.04250792426989294,23,256
D7B,0.765,6.0,5.0,0.03188604815247808,23,256
D7B,0.76,6.0,0.0,0.06555402202672962,23,256
D7B,0.76,6.0,1.0,0.05115167952892565,23,256
D7B,0.76,6.0,2.0,0.04250792426989294,23,256
D7B,0.76,6.0,5.0,0.03188604815247808,23,256
D7B,0.755,6.0,0.0,0.06555402202672962,23,256
D7B,0.755,6.0,1.0,0.05115167952892565,23,256
D7B,0.755,6.0,2.0,0.04250792426989294,23,256
D7B,0.755,6.0,5.0,0.03188604815247808,23,256
D7B,0.75,6.0,0.0,0.06555402202672962,23,256
D7B,0.75,6.0,1.0,0.05115167952892565,23,256
D7B,0.75,6.0,2.0,0.04250792426989294,23,256
D7B,0.75,6.0,5.0,0.03188604815247808,23,256
D7B,0.745,6.390000000000001,0.0,0.07799148817715289,21,239
D7B,0.745,6.390000000000001,1.0,0.06433783869848371,21,239
D7B,0.745,6.390000000000001,2.0,0.05429350822149254,21,239
D7B,0.745,6.390000000000001,5.0,0.04051023871659961,21,239
D7B,0.74,7.0,0.0,0.07799148817715289,21,239
D7B,0.74,7.0,1.0,0.06433783869848371,21,239
D7B,0.74,7.0,2.0,0.05429350822149254,21,239
D7B,0.74,7.0,5.0,0.04051023871659961,21,239
D7B,0.735,7.0,0.0,0.07799148817715289,21,239
D7B,0.735,7.0,1.0,0.06433783869848371,21,239
D7B,0.735,7.0,2.0,0.05429350822149254,21,239
D7B,0.735,7.0,5.0,0.04051023871659961,21,239
D7B,0.73,7.0,0.0,0.07799148817715289,21,239
D7B,0.73,7.0,1.0,0.06433783869848371,21,239
D7B,0.73,7.0,2.0,0.05429350822149254,21,239
D7B,0.73,7.0,5.0,0.04051023871659961,21,239
D7B,0.725,7.0,0.0,0.07799148817715289,21,239
D7B,0.725,7.0,1.0,0.06433783869848371,21,239
D7B,0.725,7.0,2.0,0.05429350822149254,21,239
D7B,0.725,7.0,5.0,0.04051023871659961,21,239
D7B,0.72,7.0,0.0,0.07799148817715289,21,239
D7B,0.72,7.0,1.0,0.06433783869848371,21,239
D7B,0.72,7.0,2.0,0.05429350822149254,21,239
D7B,0.72,7.0,5.0,0.04051023871659961,21,239
D7B,0.715,7.0,0.0,0.07799148817715289,21,239
D7B,0.715,7.0,1.0,0.06433783869848371,21,239
D7B,0.715,7.0,2.0,0.05429350822149254,21,239
D7B,0.715,7.0,5.0,0.04051023871659961,21,239
D7B,0.71,7.0,0.0,0.07799148817715289,21,239
D7B,0.71,7.0,1.0,0.06433783869848371,21,239
D7B,0.71,7.0,2.0,0.05429350822149254,21,239
D7B,0.71,7.0,5.0,0.04051023871659961,21,239
D7B,0.7050000000000001,7.0,0.0,0.07799148817715289,21,239
D7B,0.7050000000000001,7.0,1.0,0.06433783869848371,21,239
D7B,0.7050000000000001,7.0,2.0,0.05429350822149254,21,239
D7B,0.7050000000000001,7.0,5.0,0.04051023871659961,21,239
D7B,0.7,7.0,0.0,0.07799148817715289,21,239
D7B,0.7,7.0,1.0,0.06433783869848371,21,239
D7B,0.7,7.0,2.0,0.05429350822149254,21,239
D7B,0.7,7.0,5.0,0.04051023871659961,21,239
D7B,0.6950000000000001,7.0,0.0,0.07799148817715289,21,239
D7B,0.6950000000000001,7.0,1.0,0.06433783869848371,21,239
D7B,0.6950000000000001,7.0,2.0,0.05429350822149254,21,239
D7B,0.6950000000000001,7.0,5.0,0.04051023871659961,21,239
D7B,0.69,7.0,0.0,0.07799148817715289,21,239
D7B,0.69,7.0,1.0,0.06433783869848371,21,239
D7B,0.69,7.0,2.0,0.05429350822149254,21,239
D7B,0.69,7.0,5.0,0.04051023871659961,21,239
D7B,0.685,7.069999999999979,0.0,0.10983605174009059,17,218
D7B,0.685,7.069999999999979,1.0,0.08796374992700831,17,218
D7B,0.685,7.069999999999979,2.0,0.07546450844961151,17,218
D7B,0.685,7.069999999999979,5.0,0.06038324758819294,17,218
D7B,0.6799999999999999,8.0,0.0,0.10983605174009059,17,218
D7B,0.6799999999999999,8.0,1.0,0.08796374992700831,17,218
D7B,0.6799999999999999,8.0,2.0,0.07546450844961151,17,218
D7B,0.6799999999999999,8.0,5.0,0.06038324758819294,17,218
D7B,0.675,8.0,0.0,0.10983605174009059,17,218
D7B,0.675,8.0,1.0,0.08796374992700831,17,218
D7B,0.675,8.0,2.0,0.07546450844961151,17,218
D7B,0.675,8.0,5.0,0.06038324758819294,17,218
D7B,0.6699999999999999,8.0,0.0,0.10983605174009059,17,218
D7B,0.6699999999999999,8.0,1.0,0.08796374992700831,17,218
D7B,0.6699999999999999,8.0,2.0,0.07546450844961151,17,218
D7B,0.6699999999999999,8.0,5.0,0.06038324758819294,17,218
D7B,0.665,8.0,0.0,0.10983605174009059,17,218
D7B,0.665,8.0,1.0,0.08796374992700831,17,218
D7B,0.665,8.0,2.0,0.07546450844961151,17,218
D7B,0.665,8.0,5.0,0.06038324758819294,17,218
D7B,0.6599999999999999,8.0,0.0,0.10983605174009059,17,218
D7B,0.6599999999999999,8.0,1.0,0.08796374992700831,17,218
D7B,0.6599999999999999,8.0,2.0,0.07546450844961151,17,218
D7B,0.6599999999999999,8.0,5.0,0.06038324758819294,17,218
D7B,0.655,8.0,0.0,0.10983605174009059,17,218
D7B,0.655,8.0,1.0,0.08796374992700831,17,218
D7B,0.655,8.0,2.0,0.07546450844961151,17,218
D7B,0.655,8.0,5.0,0.06038324758819294,17,218
D7B,0.6499999999999999,8.0,0.0,0.10983605174009059,17,218
D7B,0.6499999999999999,8.0,1.0,0.08796374992700831,17,218
D7B,0.6499999999999999,8.0,2.0,0.07546450844961151,17,218
D7B,0.6499999999999999,8.0,5.0,0.06038324758819294,17,218
D7B,0.645,8.0,0.0,0.10983605174009059,17,218
D7B,0.645,8.0,1.0,0.08796374992700831,17,218
D7B,0.645,8.0,2.0,0.07546450844961151,17,218
D7B,0.645,8.0,5.0,0.06038324758819294,17,218
D7B,0.64,9.0,0.0,0.1587531032886038,16,204
D7B,0.64,9.0,1.0,0.13024095088188045,16,204
D7B,0.64,9.0,2.0,0.1122988529854772,16,204
D7B,0.64,9.0,5.0,0.08982289718790204,16,204
D7B,0.635,9.0,0.0,0.1587531032886038,16,204
D7B,0.635,9.0,1.0,0.13024095088188045,16,204
D7B,0.635,9.0,2.0,0.1122988529854772,16,204
D7B,0.635,9.0,5.0,0.08982289718790204,16,204
D7B,0.63,9.0,0.0,0.1587531032886038,16,204
D7B,0.63,9.0,1.0,0.13024095088188045,16,204
D7B,0.63,9.0,2.0,0.1122988529854772,16,204
D7B,0.63,9.0,5.0,0.08982289718790204,16,204
D7B,0.625,9.0,0.0,0.1587531032886038,16,204
D7B,0.625,9.0,1.0,0.13024095088188045,16,204
