sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.8049999999999999,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.8049999999999999,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.8049999999999999,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.8049999999999999,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.8,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.8,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.8,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.8,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.7949999999999999,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.7949999999999999,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.7949999999999999,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.7949999999999999,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.79,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.79,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.79,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.79,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.785,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.785,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.785,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.785,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.78,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.78,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.78,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.78,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.775,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.775,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.775,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.775,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.77,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.77,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.77,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.77,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.765,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.765,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.765,1.0,2.0,-0.009400291531714157,98,1137
BL6-BALBc_HTxB,0.765,1.0,5.0,-0.006418250078755569,98,1137
BL6-BALBc_HTxB,0.76,1.0,0.0,-0.0196031052922246,98,1137
BL6-BALBc_HTxB,0.76,1.0,1.0,-0.01420289785851445,98,1137
BL6-BALBc_HTxB,0.76,1.0,2.0,-0.009400291531714157,98,1137
