percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.605,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.6,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.595,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.59,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.585,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5800000000000001,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.575,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5700000000000001,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.565,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.56,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5549999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.55,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5449999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.54,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5349999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.53,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5249999999999999,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.52,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.515,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.51,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.505,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.5,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.495,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.49,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.485,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.48,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.475,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.47,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.46499999999999997,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.45999999999999996,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.45499999999999996,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.44999999999999996,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
0.44499999999999995,0.0,191,68.95306859205776,40,39,39,0.002420793137355326,0.10723640903416184,0.006788464389997664,0.013377114198037002
