sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxA,0.81,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.81,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.81,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.8049999999999999,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.8049999999999999,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.8049999999999999,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.8049999999999999,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.8,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.8,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.8,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.8,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.7949999999999999,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.7949999999999999,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.7949999999999999,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.7949999999999999,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.79,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.79,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.79,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.79,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.785,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.785,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.785,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.785,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.78,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.78,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.78,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.78,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.775,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.775,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.775,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.775,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.77,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.77,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.77,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.77,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.765,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.765,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.765,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.765,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.76,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.76,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.76,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.76,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.755,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.755,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.755,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.755,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.75,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.75,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.75,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.75,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.745,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.745,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.745,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.745,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.74,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.74,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.74,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.74,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.735,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.735,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.735,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.735,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.73,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.73,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.73,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.73,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.725,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.725,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.725,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.725,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.72,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.72,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.72,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.72,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.715,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.715,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.715,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.715,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.71,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.71,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.71,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.71,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.7050000000000001,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.7050000000000001,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.7050000000000001,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.7050000000000001,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.7,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.7,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.7,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.7,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6950000000000001,0.0,0.0,-0.04857767797971423,12,183
