sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,0.845,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.845,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.84,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.84,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.84,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.84,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.835,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.835,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.835,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.835,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.83,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.83,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.83,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.83,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.825,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.825,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.825,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.825,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.8200000000000001,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.8200000000000001,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.8200000000000001,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.8200000000000001,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.815,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.815,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.815,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.815,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.81,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.81,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.81,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.81,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.8049999999999999,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.8049999999999999,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.8049999999999999,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.8049999999999999,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.8,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.8,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.8,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.8,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.7949999999999999,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.7949999999999999,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.7949999999999999,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.7949999999999999,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.79,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.79,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.79,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.79,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.785,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.785,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.785,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.785,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.78,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.78,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.78,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.78,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.775,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.775,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.775,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.775,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.77,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.77,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.77,1.0,2.0,-0.005976137947936145,196,6551
