percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.725,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.72,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.715,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.71,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.7050000000000001,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.7,8.0,1675,38.6657433056325,156,119,119,0.017066211337551374,0.19078015331408996,0.10947893712674173,0.020010298155854717
0.6950000000000001,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.69,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.685,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.6799999999999999,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.675,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.6699999999999999,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.665,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.6599999999999999,9.0,1560,36.011080332409975,156,113,113,0.020543138259412785,0.22308720002805152,0.12161932757741606,0.023201281628199923
0.655,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.6499999999999999,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.645,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.64,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.635,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.63,10.0,1450,33.471837488457986,156,110,110,0.02427635266623185,0.258725373589463,0.14537409798162712,0.031641899966705474
0.625,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.62,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.615,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.61,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.605,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.6,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.595,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.59,11.0,1366,31.532779316712833,156,107,107,0.036135539467398226,0.2639813820264949,0.15909166015907517,0.030064811290710883
0.585,12.0,1258,29.039704524469066,156,93,93,0.03518186127950318,0.26281197786511645,0.17277324137692743,0.031633841550793
0.5800000000000001,12.0,1258,29.039704524469066,156,93,93,0.03518186127950318,0.26281197786511645,0.17277324137692743,0.031633841550793
0.575,12.0,1258,29.039704524469066,156,93,93,0.03518186127950318,0.26281197786511645,0.17277324137692743,0.031633841550793
0.5700000000000001,12.0,1258,29.039704524469066,156,93,93,0.03518186127950318,0.26281197786511645,0.17277324137692743,0.031633841550793
0.565,12.0,1258,29.039704524469066,156,93,93,0.03518186127950318,0.26281197786511645,0.17277324137692743,0.031633841550793
0.56,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.5549999999999999,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.55,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.5449999999999999,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.54,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.5349999999999999,13.0,1188,27.42382271468144,156,89,89,0.03209060320888546,0.25922230895048776,0.17798303546740504,0.033739508028951266
0.53,14.0,1097,25.323176361957525,156,82,82,0.03471541655878663,0.2593730592371486,0.20450570792917358,0.04027350096200763
0.5249999999999999,14.0,1097,25.323176361957525,156,82,82,0.03471541655878663,0.2593730592371486,0.20450570792917358,0.04027350096200763
0.52,14.0,1097,25.323176361957525,156,82,82,0.03471541655878663,0.2593730592371486,0.20450570792917358,0.04027350096200763
0.515,14.0,1097,25.323176361957525,156,82,82,0.03471541655878663,0.2593730592371486,0.20450570792917358,0.04027350096200763
0.51,14.0,1097,25.323176361957525,156,82,82,0.03471541655878663,0.2593730592371486,0.20450570792917358,0.04027350096200763
0.505,15.0,1038,23.9612188365651,156,79,79,0.040625877969964086,0.2824082513153336,0.22345762362950392,0.04744195375542917
0.5,15.0,1038,23.9612188365651,156,79,79,0.040625877969964086,0.2824082513153336,0.22345762362950392,0.04744195375542917
0.495,15.0,1038,23.9612188365651,156,79,79,0.040625877969964086,0.2824082513153336,0.22345762362950392,0.04744195375542917
0.49,15.0,1038,23.9612188365651,156,79,79,0.040625877969964086,0.2824082513153336,0.22345762362950392,0.04744195375542917
0.485,16.0,982,22.668513388734997,156,76,76,0.04370971026093701,0.29254514779145324,0.24119298185342844,0.04477551488332071
0.48,16.0,982,22.668513388734997,156,76,76,0.04370971026093701,0.29254514779145324,0.24119298185342844,0.04477551488332071
0.475,16.0,982,22.668513388734997,156,76,76,0.04370971026093701,0.29254514779145324,0.24119298185342844,0.04477551488332071
0.47,16.0,982,22.668513388734997,156,76,76,0.04370971026093701,0.29254514779145324,0.24119298185342844,0.04477551488332071
0.46499999999999997,16.0,982,22.668513388734997,156,76,76,0.04370971026093701,0.29254514779145324,0.24119298185342844,0.04477551488332071
0.45999999999999996,17.0,917,21.168051708217913,156,71,71,0.04733057043702227,0.3114102206579704,0.2525605637109073,0.0395648196129769
0.45499999999999996,17.0,917,21.168051708217913,156,71,71,0.04733057043702227,0.3114102206579704,0.2525605637109073,0.0395648196129769
0.44999999999999996,17.0,917,21.168051708217913,156,71,71,0.04733057043702227,0.3114102206579704,0.2525605637109073,0.0395648196129769
0.44499999999999995,17.0,917,21.168051708217913,156,71,71,0.04733057043702227,0.3114102206579704,0.2525605637109073,0.0395648196129769
0.43999999999999995,18.0,865,19.967682363804247,156,67,67,0.04866410013129585,0.3114102206579704,0.2633795560201198,0.046486517814998546
0.43499999999999994,18.0,865,19.967682363804247,156,67,67,0.04866410013129585,0.3114102206579704,0.2633795560201198,0.046486517814998546
