sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7ABC_combined,0.78,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.77,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.77,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.77,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.77,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.77,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.77,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.76,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.76,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.76,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.76,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.76,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.76,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.75,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.75,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.75,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.75,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.75,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.75,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.74,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.74,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.74,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.74,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.74,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.74,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.73,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.73,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.73,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.73,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.73,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.73,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.72,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.72,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.72,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.72,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.72,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.72,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.71,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.71,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.71,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.71,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.71,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.71,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.7,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.7,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.7,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.7,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.7,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.7,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.69,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.69,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.69,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.69,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.69,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.69,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.6799999999999999,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.6799999999999999,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.6799999999999999,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.6799999999999999,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.6799999999999999,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.6799999999999999,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.6699999999999999,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.6699999999999999,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.6699999999999999,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.6699999999999999,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.6699999999999999,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.6699999999999999,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.6599999999999999,0.0,0.0,-0.15082194310692867,355,11667
