percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.6599999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.655,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.6499999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.645,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.64,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.635,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.63,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.625,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.62,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.615,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.61,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.605,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.6,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.595,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.59,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.585,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5800000000000001,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.575,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5700000000000001,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.565,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.56,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5549999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.55,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5449999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.54,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5349999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.53,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5249999999999999,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.52,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.515,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.51,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.505,1.0,2042,72.51420454545455,126,103,103,0.016271258361594376,0.1896282092013641,-0.14119565378498913,-0.021891907581701574
0.5,0.0,1472,52.27272727272727,126,76,76,0.039176324147914277,0.2924606068821908,-0.22111586199460606,-0.019958541415516295
0.495,0.0,1472,52.27272727272727,126,76,76,0.039176324147914277,0.2924606068821908,-0.22111586199460606,-0.019958541415516295
