percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.905,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.9,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.895,3.0,2573,91.37073863636364,126,126,126,0.00036696164753341476,0.026737415405123637,0.03699675593902488,0.009984399649766702
0.89,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.885,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.88,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.875,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.87,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.865,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.86,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.855,4.0,2437,86.54119318181819,126,126,126,0.00222570423314683,0.07321036455374277,0.04937714569763759,0.01211799133558739
0.85,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.845,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.84,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.835,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.83,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.825,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
0.8200000000000001,5.0,2317,82.27982954545455,126,126,126,0.008113511662579898,0.13057618685879424,0.058404279743752875,0.015249166651732362
