sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.74,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.74,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.74,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.74,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.735,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.735,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.735,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.735,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.73,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.73,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.73,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.73,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.725,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.725,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.725,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.725,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.72,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.72,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.72,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.72,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.715,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.715,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.715,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.715,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.71,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.71,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.71,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.71,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.7050000000000001,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.7050000000000001,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.7050000000000001,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.7050000000000001,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.7,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.7,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.7,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.7,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.6950000000000001,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.6950000000000001,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.6950000000000001,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.6950000000000001,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.69,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.69,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.69,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.69,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.685,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.685,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.685,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.685,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.6799999999999999,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.6799999999999999,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.6799999999999999,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.6799999999999999,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.675,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.675,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.675,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.675,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.6699999999999999,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.6699999999999999,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.6699999999999999,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.6699999999999999,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.665,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.665,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.665,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.665,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.6599999999999999,0.0,0.0,-0.1496393445723271,128,2762
