percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.9,2.0,2840,91.20102761721259,143,128,128,0.0018549254315870511,0.06731019958701451,-0.07960362382821642,-0.0048027824479611484
0.895,2.0,2840,91.20102761721259,143,128,128,0.0018549254315870511,0.06731019958701451,-0.07960362382821642,-0.0048027824479611484
0.89,2.0,2840,91.20102761721259,143,128,128,0.0018549254315870511,0.06731019958701451,-0.07960362382821642,-0.0048027824479611484
0.885,2.0,2840,91.20102761721259,143,128,128,0.0018549254315870511,0.06731019958701451,-0.07960362382821642,-0.0048027824479611484
0.88,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.875,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.87,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.865,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.86,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.855,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.85,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.845,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.84,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.835,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.83,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.825,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
0.8200000000000001,1.0,2766,88.82466281310212,143,127,127,0.00320043355616062,0.08611111111111111,-0.10378563665032492,-0.007314691953797566
