percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.835,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.83,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.825,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.8200000000000001,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.815,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.81,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.8049999999999999,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.8,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.7949999999999999,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.79,1.0,2456,87.99713364385525,159,148,148,0.0039681177304948245,0.09551354790645714,-0.09277100340800097,0.0020033212474492345
0.785,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.78,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.775,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.77,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.765,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.76,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.755,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.75,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.745,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.74,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.735,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.73,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.725,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.72,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.715,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.71,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.7050000000000001,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.7,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6950000000000001,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.69,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.685,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6799999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.675,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6699999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.665,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6599999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.655,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6499999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.645,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.64,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.635,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.63,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.625,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.62,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.615,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.61,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.605,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.6,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.595,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.59,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.585,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.5800000000000001,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.575,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.5700000000000001,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.565,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.56,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.5549999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.55,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
0.5449999999999999,0.0,2203,78.93228233608026,159,129,129,0.010605682293005292,0.16529818329818327,-0.15160014504973388,-0.002882717249009883
