percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.915,3.0,2253,91.73452768729642,139,131,131,0.0005998526008494931,0.04333272936214113,-0.0633019080630762,0.0020003020618628025
0.91,3.0,2253,91.73452768729642,139,131,131,0.0005998526008494931,0.04333272936214113,-0.0633019080630762,0.0020003020618628025
0.905,3.0,2253,91.73452768729642,139,131,131,0.0005998526008494931,0.04333272936214113,-0.0633019080630762,0.0020003020618628025
0.9,2.0,2210,89.98371335504886,139,130,130,0.001646066430337656,0.0673974325680636,-0.07127236858421465,0.002258799706238928
0.895,2.0,2210,89.98371335504886,139,130,130,0.001646066430337656,0.0673974325680636,-0.07127236858421465,0.002258799706238928
0.89,2.0,2210,89.98371335504886,139,130,130,0.001646066430337656,0.0673974325680636,-0.07127236858421465,0.002258799706238928
0.885,2.0,2210,89.98371335504886,139,130,130,0.001646066430337656,0.0673974325680636,-0.07127236858421465,0.002258799706238928
0.88,2.0,2210,89.98371335504886,139,130,130,0.001646066430337656,0.0673974325680636,-0.07127236858421465,0.002258799706238928
0.875,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.87,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.865,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.86,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.855,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.85,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.845,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.84,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.835,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.83,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.825,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.8200000000000001,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.815,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.81,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.8049999999999999,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.8,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.7949999999999999,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.79,1.0,2155,87.7442996742671,139,129,129,0.0045080168341806726,0.09553915375602731,-0.09536019037607521,0.0016125897251418814
0.785,0.4950000000003456,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.78,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.775,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.77,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.765,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.76,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.755,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.75,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.745,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.74,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.735,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
0.73,0.0,1937,78.86807817589576,139,111,111,0.010605682293005292,0.15990320507440914,-0.15554018031659927,-0.002511201186639733
