sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.685,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6799999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6799999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6799999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6799999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.675,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.675,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.675,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.675,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6699999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6699999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6699999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6699999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.665,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.665,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.665,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.665,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6599999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6599999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6599999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6599999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.655,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.655,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.655,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.655,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6499999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6499999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6499999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6499999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.645,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.645,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.645,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.645,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.64,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.64,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.64,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.64,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.635,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.635,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.635,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.635,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.63,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.63,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.63,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.63,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.625,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.625,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.625,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.625,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.62,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.62,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.62,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.62,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.615,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.615,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.615,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.615,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.61,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.61,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.61,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.61,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.605,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.605,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.605,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.605,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.595,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.595,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.595,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.595,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.59,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.59,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.59,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.59,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.585,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.585,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.585,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.585,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5800000000000001,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5800000000000001,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5800000000000001,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5800000000000001,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.575,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.575,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.575,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.575,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5700000000000001,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5700000000000001,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5700000000000001,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5700000000000001,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.565,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.565,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.565,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.565,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.56,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.56,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.56,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.56,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5549999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5549999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5549999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5549999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.55,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.55,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.55,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.55,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5449999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5449999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5449999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5449999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.54,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.54,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.54,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.54,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5349999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5349999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5349999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5349999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.53,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.53,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.53,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.53,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5249999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5249999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5249999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5249999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.52,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.52,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.52,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.52,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.515,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.515,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.515,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.515,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.51,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.51,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.51,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.51,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.505,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.505,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.505,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.505,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.5,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.5,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.5,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.5,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.495,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.495,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.495,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.495,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.49,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.49,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.49,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.49,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.485,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.485,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.485,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.485,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.48,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.48,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.48,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.48,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.475,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.475,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.475,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.475,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.47,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.47,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.47,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.47,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.46499999999999997,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.46499999999999997,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.46499999999999997,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.46499999999999997,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.45999999999999996,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.45999999999999996,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.45999999999999996,0.0,2.0,-0.11856274720330799,118,2465
